,Model,Source,Split,Dataset,Fold,R2_score_train,MAE_score_train,RMSE_score_train,R2_score_test,MAE_score_test,RMSE_score_test,rho_score_train,rho_score_test,num_nonzero_coefs,prot_length
634,ESM-2 650M,cellular,Site Split,SUMO1_HUMAN_Roth2017,5,0.5501663566389499,0.534309094809936,0.6755939213040962,0.1940025145962729,0.6605523383894912,0.8694298249550593,0.7538008821361486,0.5181852709062944,124,101
635,ESM-2 650M,cellular,Site Split,RASH_HUMAN_Kuriyan,1,0.1725297042583062,0.7109752626359108,0.8905896098083715,0.0305376726535865,0.7717572050363369,1.0484741927842975,0.4805780618114512,0.3496652392407786,16,189
636,ESM-2 650M,cellular,Site Split,RASH_HUMAN_Kuriyan,2,0.4953931726840505,0.52102257141414,0.7064765195781381,0.1910240654853536,0.6828910779565369,0.918285599698098,0.7346700831991481,0.4636217496934871,83,189
637,ESM-2 650M,cellular,Site Split,RASH_HUMAN_Kuriyan,3,0.5358999073247899,0.5029965236388657,0.6717400692705398,0.1648472913071026,0.6811280517186405,0.9523728869929368,0.7564937228547027,0.4463633360653167,113,189
638,ESM-2 650M,cellular,Site Split,RASH_HUMAN_Kuriyan,4,0.1838863489845397,0.706479825083829,0.9126388119603948,0.1045930241846974,0.7117784723357667,0.9073138443495732,0.4938628708169496,0.3620758462503728,15,189
639,ESM-2 650M,cellular,Site Split,RASH_HUMAN_Kuriyan,5,0.4941460651314374,0.5491709897498798,0.7349858341318156,0.2047595554137434,0.5575942508070503,0.748831233049801,0.7413286496504476,0.5309609657019001,103,189
640,ESM-2 650M,cellular,Site Split,BLAT_ECOLX_Ostermeier2014,1,0.6072165206508789,0.5071831750084151,0.6319876894454056,0.3594973571428437,0.6089727517965398,0.7676085911408516,0.8001051558202273,0.6391209568764533,130,286
641,ESM-2 650M,cellular,Site Split,BLAT_ECOLX_Ostermeier2014,2,0.5018012669782772,0.5703616109643139,0.6978687524913969,0.431200253321676,0.6450624219585047,0.7795662581158753,0.7379274884300485,0.6768134965399351,76,286
642,ESM-2 650M,cellular,Site Split,BLAT_ECOLX_Ostermeier2014,3,0.4926737406193429,0.5879058166678918,0.7176551594513514,0.4326785184522946,0.5992313770347668,0.7206166360570186,0.7317053038599921,0.6828842015534866,67,286
643,ESM-2 650M,cellular,Site Split,BLAT_ECOLX_Ostermeier2014,4,0.5713031896431364,0.5303971984310047,0.654320476990971,0.3735753771360285,0.6237930240643734,0.7814325242651463,0.7813605092221406,0.6526027589140657,117,286
